Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.59425613237563E-05,0.000849824400305454,-0.0873247070296878,0,0,0,9.16613701618905,0.10877704590114,-7.857146708736E-10,-2.35664909590239E-08,0.0197586427934138,-2.16891277878343E-09,0.121512278202279,0,0,0,0,0,0,package://rover26/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rover26/meshes/base_link.STL,,Chassis-1;Suspension Assembly-1/motor mount lower-1;Suspension Assembly-1/motor mount upper-1;Suspension Assembly-1/Upper_control_arm-1;Suspension Assembly-1/Wheel Base Assembly-1;Suspension Assembly-1/Bearing-1;Suspension Assembly-1/belya-1;Suspension Assembly-1/ROD-1;Suspension Assembly-1/Upper_control_arm-4;Suspension Assembly-1/Bearing-2;Suspension Assembly-1/belya-2;Suspension Assembly-1/V Slot ROD-1;Suspension Assembly-1/belya-5;Suspension Assembly-1/Bearing-5;Suspension Assembly-1/V Slot ROD-3;Suspension Assembly-1/Bearing-6;Suspension Assembly-1/VERTICAL EXTRUSION-1;Suspension Assembly-1/VERTICAL EXTRUSION-9;Suspension Assembly-1/BATTERY BOX-1;Suspension Assembly-1/Welded Wed-1;Suspension Assembly-1/Welded Wed-2;Suspension Assembly-1/Welded Wed-3;Suspension Assembly-1/Welded Wed-4;Suspension Assembly-1/ROD-3;Suspension Assembly-1/belya-4;Suspension Assembly-1/belya-6;Suspension Assembly-1/V Slot ROD-4;Suspension Assembly-1/V Slot ROD-5;Suspension Assembly-1/belya-7;Suspension Assembly-1/Bearing-7;Suspension Assembly-1/Bearing-8;Suspension Assembly-1/ROD-4;Suspension Assembly-1/belya-8;Suspension Assembly-1/Bearing-9;Suspension Assembly-1/ROD-5;Suspension Assembly-1/belya-9;Suspension Assembly-1/Bearing-10;Suspension Assembly-1/VERTICAL EXTRUSION-2;Suspension Assembly-1/VERTICAL EXTRUSION-10;Suspension Assembly-1/motor mount lower-4;Suspension Assembly-1/belya-25;Suspension Assembly-1/belya-26;Suspension Assembly-1/VERTICAL EXTRUSION-11;Suspension Assembly-1/Bearing-26;Suspension Assembly-1/Bearing-27;Suspension Assembly-1/V Slot ROD-14;Suspension Assembly-1/V Slot ROD-15;Suspension Assembly-1/Upper_control_arm-9;Suspension Assembly-1/Bearing-28;Suspension Assembly-1/ROD-14;Suspension Assembly-1/belya-27;Suspension Assembly-1/Bearing-29;Suspension Assembly-1/motor mount upper-4;Suspension Assembly-1/Wheel Base Assembly-4;Suspension Assembly-1/Upper_control_arm-10;Suspension Assembly-1/V Slot ROD-16;Suspension Assembly-1/belya-28;Suspension Assembly-1/V Slot ROD-17;Suspension Assembly-1/ROD-15;Suspension Assembly-1/Bearing-30;Suspension Assembly-1/Bearing-31;Suspension Assembly-1/ROD-16;Suspension Assembly-1/belya-29;Suspension Assembly-1/Bearing-32;Suspension Assembly-1/ROD-17;Suspension Assembly-1/Bearing-33;Suspension Assembly-1/belya-30;Suspension Assembly-1/belya-31;Suspension Assembly-1/belya-32;Suspension Assembly-1/VERTICAL EXTRUSION-12;Suspension Assembly-1/Welded Wed-5;Suspension Assembly-1/Welded Wed-6;Suspension Assembly-1/Welded Wed-7;Suspension Assembly-1/Welded Wed-8;floor assembly-1/Battery Box Door-1;floor assembly-1/Hinge P2_1-1;floor assembly-1/Hinge_1-1;Chassis-1/VERTICAL EXTRUSION-43;Chassis-1/VERTICAL EXTRUSION-47;Chassis-1/Horizontal V Slot-22;floor assembly-1/FLOOR-1;Chassis-1/Horizontal V Slot-23;Chassis-1/Horizontal V Slot-5;Chassis-1/Horizontal V Slot-49;Chassis-1/VERTICAL EXTRUSION-48;Chassis-1/Horizontal V Slot-1;Chassis-1/VERTICAL EXTRUSION-49;Chassis-1/v slot-6;Chassis-1/v slot-2;Chassis-1/Horizontal V Slot-12;Chassis-1/Horizontal V Slot-37,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rightwheel,-3.92438859186939E-12,6.11156379336231E-06,0.0325776553627823,0,0,0,3.08150027072289,0.00574592439542028,2.28880708563721E-14,6.70727240760862E-13,0.00574601871607623,-1.06447319492491E-06,0.00983903535739353,0,0,0,0,0,0,package://rover26/meshes/rightwheel.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://rover26/meshes/rightwheel.STL,,Suspension Assembly-1/Hoverboard 8-6,Coordinate System3,Axis10,rightwheel,revolute,-0.3486,0,-0.17187,-1.5708,0,-1.5708,base_link,0,0,-1,30,12,-1E+16,1E+16,,,0.5,0.2,,,0,1
leftwheel,3.92347265787407E-12,6.11156379340394E-06,-0.032577655362791,0,0,0,3.08150027072291,0.00574592439542029,-2.28873679725902E-14,6.7085818531115E-13,0.00574601871607624,1.06447319493103E-06,0.00983903535739355,0,0,0,0,0,0,package://rover26/meshes/leftwheel.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://rover26/meshes/leftwheel.STL,,Suspension Assembly-1/Hoverboard 8-2,Coordinate System2,Axis9,leftwheel,revolute,0.3486,0,-0.17187,-1.5708,0,-1.5708,base_link,0,0,1,30,12,-1E+16,1E+16,,,0.5,0.2,,,0,1
lidar,7.14081571651093E-14,4.89608353859694E-14,-0.0235714285721134,0,0,0,0.263893782901543,0.000200209211823772,-7.88860905221012E-31,-5.28995346614825E-18,0.000200209211823772,2.04396983609088E-17,0.000324212361850467,0,0,0,0,0,0,package://rover26/meshes/lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover26/meshes/lidar.STL,,Lidar ay kalam-1,Coordinate System13,Axis16,lidar,fixed,-0.0014001,-0.27365,0.04,0,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
camera,1.11022302462516E-16,-6.93889390390723E-18,-0.0237945045054865,0,0,0,0.159621127501619,4.69332801203968E-05,2.61761694080102E-21,-5.75604036267865E-21,0.000140683280120397,-4.47174067978566E-22,0.000157723235148685,0,0,0,0,0,0,package://rover26/meshes/camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover26/meshes/camera.STL,,Camera ay kalam-2,Coordinate System12,Axis15,camera,fixed,-0.00040887,-0.42,-0.049,-1.5708,0,-3.1416,base_link,0,0,0,,,,,,,,,,,,
castorFL,0.0149992961234578,4.50692742799408E-05,-0.0668217148194085,0,0,0,0.411166945379891,0.000416841288535765,9.39549359322882E-18,-2.84111215695273E-15,0.000711554310816727,-1.70042868639805E-13,0.000413607412951169,0,0,0,0,0,0,package://rover26/meshes/castorFL.STL,1,1,0,1,0,0,0,0,0,0,package://rover26/meshes/castorFL.STL,,Caster Wheel Assembly-1/Wheel-2;Caster Wheel Assembly-1/Wheel Housing-2;Caster Wheel Assembly-1/Top Plate-1;Caster Wheel Assembly-1/hex bolt_am-1,Coordinate System6,Axis12,castorFL,revolute,0.185,-0.25,-0.124,0,0,-1.5708,base_link,0,0,1,2,10,0,0,,,0.3,0.2,,,,
wheelFL,-6.93889390390723E-18,2.77555756156289E-17,6.88338275267597E-15,0,0,0,0.374612932792007,0.000379650011198176,5.25483768295699E-21,-1.80982692887886E-19,0.000379650011198176,5.12339781807871E-17,0.000685202275649917,0,0,0,0,0,0,package://rover26/meshes/wheelFL.STL,1,1,0,1,0,0,0,0,0,0,package://rover26/meshes/wheelFL.STL,,Caster Wheel Assembly-1/Wheel-2,Coordinate System7,Axis1,wheelFL,revolute,0.014999,0,-0.070418,-1.5708,0,0,castorFL,0,0,-1,5,20,0,0,,,0.2,0.1,,,,
castorBL,-0.0149999998448641,4.50693103033473E-05,-0.0668217148192123,0,0,0,0.411166945377423,0.00041684128853442,4.01968078215353E-14,-2.82433329164078E-15,0.000711554310816637,-1.69167444608388E-13,0.000413607412951036,0,0,0,0,0,0,package://rover26/meshes/castorBL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover26/meshes/castorBL.STL,,Caster Wheel Assembly-3/Top Plate-1;Caster Wheel Assembly-3/Wheel Housing-2;Caster Wheel Assembly-3/Wheel-2;Caster Wheel Assembly-3/hex bolt_am-1,Coordinate System10,Axis14,castorBL,revolute,0.185,0.25,-0.124,0,0,-1.5708,base_link,0,0,-1,0,0,0,0,,,,,,,,
wheelBL,1.24084076347231E-10,-1.80119807957624E-13,2.88975510187583E-11,0,0,0,0.374612932792007,0.000379650011198177,1.16908847822713E-21,4.16752478273265E-14,0.000379650011198177,5.12029823657388E-17,0.000685202275649917,0,0,0,0,0,0,package://rover26/meshes/wheelBL.STL,1,1,0,1,0,0,0,0,0,0,package://rover26/meshes/wheelBL.STL,,Caster Wheel Assembly-3/Wheel-2,Coordinate System11,Axis3,wheelBL,revolute,-0.015,0,-0.070418,-1.5708,0,0,castorBL,0,0,-1,0,0,0,0,,,,,,,,
castorFR,0.0149992961233931,-4.50692743245718E-05,-0.0668217148190915,0,0,0,0.411166945379892,0.000416841288535767,8.96504630824007E-17,2.8415321213982E-15,0.00071155431081673,1.69993560557162E-13,0.00041360741295117,0,0,0,0,0,0,package://rover26/meshes/castorFR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover26/meshes/castorFR.STL,,Caster Wheel Assembly-2/Top Plate-1;Caster Wheel Assembly-2/Wheel Housing-2;Caster Wheel Assembly-2/Wheel-2;Caster Wheel Assembly-2/hex bolt_am-1,Coordinate System4,Axis11,castorFR,revolute,-0.185,-0.25,-0.124,0,0,-1.5708,base_link,0,0,-1,0,0,0,0,,,,,,,,
